Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP
Hyundai,Verna,70000,2008,Benzine,Manual,,,"EGP 290,000"
Renault,Logan,57000,2017,Benzine,Manual,,Sedan,"EGP 450,000"
Peugeot,5008,88000,2022,Benzine,Automatic,,SUV,"EGP 1,450,000"
Mercedes-Benz,GLC 200,50000,2023,Benzine,Automatic,1500,SUV,"EGP 3,625,000"
Volkswagen,Passat,180000,2018,Benzine,Automatic,1400,Sedan,"EGP 1,100,000"
Cadillac,Escalade,145000,2007,Benzine,Automatic,,SUV,"EGP 3,000,000"
Chevrolet,Aveo,208000,2017,Benzine,Automatic,1500,Sedan,"EGP 445,000"
Toyota,Yaris,152000,2008,Benzine,Automatic,1300,Sedan,"EGP 420,000"
Renault,Sandero Stepway,185000,2016,Benzine,Automatic,1600,SUV,"EGP 415,000"
Chevrolet,Optra,14600,2006,Benzine,Automatic,1600,Sedan,"EGP 350,000"
Peugeot,3008,150000,2020,Benzine,Automatic,,SUV,"EGP 1,050,000"
Jeep,Wrangler,300000,2010,Benzine,Automatic,3800,4X4,"EGP 820,000"
BMW,520,145000,2019,Benzine,Automatic,2000,Sedan,"EGP 1,750,000"
Mercedes-Benz,GLC 200,33000,2024,Benzine,Automatic,2000,Sports / Coupe,"EGP 4,500,000"
Hyundai,Elantra,60000,2023,Benzine,Automatic,4600,Sedan,"EGP 1,250,000"
BMW,418,90000,2016,Natural Gas,Automatic,1500,Sedan,"EGP 1,600,000"
Kia,Rio,140000,2016,Benzine,Automatic,,Sedan,"EGP 620,000"
Nissan,Sunny,84000,2018,Benzine,Automatic,1600,Sedan,"EGP 450,000"
Fiat,Dogan,310990,2009,Benzine,Manual,1600,Sedan,"EGP 90,000"
Citroen,C3,269000,2003,Benzine,Manual,,,"EGP 250,000"
Fiat,500X,210000,2017,Benzine,Automatic,,Hatchback,"EGP 600,000"
Fiat,Siena,105000,2008,Benzine,Manual,1500,Sedan,"EGP 180,000"
Volkswagen,Golf,22000,1991,Benzine,Manual,2000,Hatchback,"EGP 225,000"
Mercedes-Benz,G63,125000,2016,Benzine,Automatic,5500,SUV,"EGP 7,500,000"
BMW,X3,20000,2024,Benzine,Automatic,2000,4X4,"EGP 3,700,000"
Suzuki,Maruti,56000,2009,Benzine,Manual,,,"EGP 170,000"
Ford,B-Max,165000,2015,Benzine,Automatic,1600,SUV,"EGP 450,000"
Fiat,128,130000,1980,Diesel,Manual,1300,Sedan,"EGP 47,000"
Chevrolet,Optra,200000,2008,Benzine,Automatic,1600,Sedan,"EGP 345,000"
Mercedes-Benz,G63,19000,2021,Benzine,Automatic,,SUV,"EGP 13,900,000"
Kia,Cerato,90000,2022,Benzine,Automatic,1600,Sedan,"EGP 950,000"
Mercedes-Benz,CLS,65000,2019,Benzine,Automatic,2000,Sedan,"EGP 3,200,000"
Chery,Arrizo 5,48000,2023,Benzine,Automatic,1600,Sedan,"EGP 610,000"
Mercedes-Benz,190,250000,1984,Benzine,Manual,2000,Sedan,"EGP 270,000"
Skoda,Kodiaq,14000,2024,Benzine,Automatic,1500,SUV,"EGP 2,400,000"
Volkswagen,Souran,115000,2008,Benzine,Manual,,,"EGP 260,000"
Proton,Gen-2,95000,2015,Benzine,Automatic,1600,Sedan,"EGP 475,000"
Opel,Astra,54000,2021,Benzine,Automatic,1400,Sedan,"EGP 760,000"
Ford,Focus,380000,2009,Benzine,Automatic,1600,Sedan,"EGP 550,000"
Seat,Ibiza,20000,1993,Benzine,Manual,,Hatchback,"EGP 90,000"
Peugeot,208,222000,2014,Benzine,Automatic,1600,Hatchback,"EGP 450,000"
Opel,Mokka,38000,2022,Benzine,Automatic,,Hatchback,"EGP 985,000"
Daewoo,Juliet,335000,1999,Benzine,Manual,1500,Hatchback,"EGP 250,000"
Mercedes-Benz,C Class,61000,2017,Benzine,Automatic,1600,Sedan,"EGP 1,850,000"
Opel,Mokka,5000,2024,Benzine,Automatic,1200,SUV,"EGP 1,270,000"
Hyundai,Elantra,775000,2022,Benzine,Automatic,1600,Sedan,"EGP 1,150,000"
Chevrolet,Other,200000,1989,Benzine,Automatic,7200,Van / Bus,"EGP 750,000"
Fiat,127,89000,1982,Benzine,Manual,903,Hatchback,"EGP 45,000"
Land Rover,Range Rover Sport,11000,2021,Benzine,Automatic,2000,SUV,"EGP 5,690,000"
Toyota,Corolla,97000,2019,Benzine,Automatic,1600,Sedan,"EGP 850,000"
BMW,X4M,30000,2024,Benzine,Automatic,2000,Sports / Coupe,"EGP 4,100,000"
Toyota,Yaris,270000,2008,Benzine,Automatic,1300,Sedan,"EGP 380,000"
Mercedes-Benz,E180,165000,2019,Benzine,Automatic,,Sedan,"EGP 2,300,000"
Opel,Corsa,178000,2005,Benzine,Manual,1600,Sedan,"EGP 280,000"
BMW,740,17000,2025,Benzine,Automatic,300,Sedan,"EGP 9,250,000"
Opel,Insignia,48000,2018,Benzine,Automatic,1500,Sedan,"EGP 1,200,000"
Mercedes-Benz,GLC 200,75000,2024,Benzine,Automatic,,Sedan,"EGP 4,350,000"
Chevrolet,Lanos,223000,2010,Benzine,Manual,1600,Sedan,"EGP 220,000"
Speranza,A516,131000,2008,Natural Gas,Manual,1600,Sedan,"EGP 155,000"
Renault,Logan,168000,2016,Benzine,Automatic,1600,Sedan,"EGP 480,000"
Mercedes-Benz,C180,20000,2023,Benzine,Automatic,1600,Sports / Coupe,"EGP 2,500,000"
Daewoo,Nubira,430000,2000,Natural Gas,Automatic,,Sedan,"EGP 250,000"
Chery,Tiggo 3,79000,2023,Benzine,Automatic,1500,4X4,"EGP 655,000"
BYD,F3,17000,2025,Benzine,Manual,,Sedan,"EGP 720,000"
Renault,Logan,222000,2016,Benzine,Automatic,1600,Sedan,"EGP 375,000"
Mercedes-Benz,C200,170000,2002,Benzine,Automatic,2000,Sedan,"EGP 680,000"
Daewoo,Lanos,300000,2002,Benzine,Manual,,Convertible,"EGP 175,000"
Fiat,Brava,180000,1998,Benzine,Manual,1600,Hatchback,"EGP 165,000"
Fiat,Shahin,500000,2000,Benzine,Manual,,Sedan,"EGP 110,000"
Opel,Astra,161000,2014,Diesel,Automatic,,Sedan,"EGP 675,000"
Honda,Accord,280000,1982,Benzine,Automatic,,,"EGP 120,000"
Hyundai,Matrix,189000,2006,Benzine,Automatic,1600,Hatchback,"EGP 430,000"
Kia,Sportage,50000,2024,Benzine,Automatic,1600,Hatchback,"EGP 1,600,000"
Kia,Sportage,95000,2021,Benzine,Automatic,1600,SUV,"EGP 1,260,000"
Volkswagen,T-Roc,11000,2022,Benzine,Automatic,1400,SUV,"EGP 1,500,000"
Mercedes-Benz,GLS,60000,2021,Benzine,Automatic,,4X4,"EGP 6,800,000"
Mercedes-Benz,C200,16000,2023,Benzine,Automatic,,Convertible,"EGP 3,550,000"
Kia,Xceed,5000,2025,Benzine,Automatic,1500,Hatchback,"EGP 1,440,000"
Daewoo,Matiz,275000,2000,Benzine,Manual,800,Hatchback,"EGP 120,000"
Hyundai,Excel,300000,1997,Benzine,Manual,1300,Sedan,"EGP 150,000"
Chevrolet,Lanos,150000,2012,Benzine,Manual,1600,Sedan,"EGP 245,000"
Mercedes-Benz,E200,26000,2021,Hybrid,Automatic,2000,Convertible,"EGP 3,600,000"
