Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP
Fiat,Punto,1,1995,Benzine,Manual,,Hatchback,"EGP 125,000"
Land Rover,Range Rover Sport,137000,2010,Benzine,Automatic,5000,4X4,"EGP 1,300,000"
Brilliance,FSV,215000,2011,Benzine,Manual,1500,Sedan,"EGP 300,000"
Chevrolet,Equinox,160000,2018,Benzine,Automatic,,Hatchback,"EGP 1,200,000"
Land Rover,Range Rover Sport,22000,2024,Benzine,Automatic,3000,4X4,"EGP 9,850,000"
Fiat,Tipo,120000,2021,Benzine,Automatic,,Sedan,"EGP 710,000"
Opel,Vectra,350000,2007,Benzine,Manual,,Sedan,"EGP 345,000"
Honda,Civic,360000,1992,Benzine,Automatic,1600,Sedan,"EGP 230,000"
Hyundai,Accent,230000,2008,Benzine,Manual,1600,Sedan,"EGP 380,000"
Lada,Granta,193000,2016,Benzine,Manual,,,"EGP 240,000"
Mercedes-Benz,C180,9000,2023,Benzine,Automatic,,Sedan,"EGP 3,000,000"
BMW,320,130000,2015,Benzine,Automatic,2000,Sedan,"EGP 1,320,000"
BMW,320,22000,2024,Benzine,Automatic,,Sedan,"EGP 2,850,000"
Renault,Megane,270000,2008,Benzine,Automatic,1600,Sedan,"EGP 330,000"
Chevrolet,Lanos,500000,2011,Natural Gas,Manual,1500,Sedan,"EGP 250,000"
Fiat,Punto,247000,2009,Benzine,Manual,,,"EGP 245,000"
Opel,Astra,140000,2017,Benzine,Automatic,1600,Sedan,"EGP 670,000"
Renault,Sandero Stepway,65000,2022,Benzine,Automatic,,Hatchback,"EGP 630,000"
Peugeot,2008,119000,2020,Benzine,Automatic,1600,SUV,"EGP 820,000"
Kia,Rio,250000,2003,Benzine,Manual,,,"EGP 200,000"
Daewoo,Nubira,313000,2001,Benzine,Manual,1500,Sedan,"EGP 250,000"
Geely,Emgrand,14000,2025,Benzine,Automatic,1500,Sedan,"EGP 815,000"
Peugeot,504,3000,1981,Benzine,Manual,2000,Sedan,"EGP 110,000"
Hyundai,Santamo,280000,2000,Benzine,Manual,1800,MPV,"EGP 230,000"
Peugeot,508,105000,2020,Benzine,Automatic,1600,Sedan,"EGP 1,100,000"
Kia,Rio,458000,2017,Benzine,Automatic,,Sedan,"EGP 490,000"
Opel,Insignia,100000,2017,Benzine,Automatic,1600,Sedan,"EGP 900,000"
Kia,Sportage,165000,2020,Benzine,Automatic,1600,SUV,"EGP 1,350,000"
Hyundai,Atos,126000,2008,Benzine,Manual,1100,Hatchback,"EGP 299,000"
Hyundai,Verna,261000,2010,Benzine,Manual,1600,Sedan,"EGP 350,000"
Opel,Astra,160000,2015,Benzine,Automatic,1600,Sedan,"EGP 650,000"
BYD,F3,100000,2023,Benzine,Automatic,1500,Sedan,"EGP 550,000"
Mercedes-Benz,GLC 200,5000,2024,Benzine,Automatic,2000,4X4,"EGP 4,600,000"
Fiat,Punto,228000,2002,Benzine,Manual,,,"EGP 220,000"
Geely,Pandido,90000,2013,Benzine,Automatic,1500,Hatchback,"EGP 300,000"
Nissan,Sunny,119000,2014,Benzine,Automatic,1500,Sedan,"EGP 390,000"
Speranza,A516,250000,2010,Benzine,Automatic,1600,Sedan,"EGP 160,000"
Daewoo,Lanos,198000,2008,Benzine,Manual,1500,Sedan,"EGP 260,000"
Renault,Logan,250000,2013,Benzine,Automatic,1600,Sedan,"EGP 370,000"
Mercedes-Benz,GLA 200,60000,2022,Benzine,Automatic,,SUV,"EGP 2,380,000"
Fiat,Punto,170000,2003,Benzine,Manual,1300,Hatchback,"EGP 215,000"
Mazda,323,370000,1997,Benzine,Manual,,,"EGP 170,000"
Kia,Picanto,115000,2016,Benzine,Automatic,,Hatchback,"EGP 580,000"
Skoda,Felecia,250000,1996,Benzine,Manual,1300,Hatchback,"EGP 160,000"
Jeep,Wrangler,155000,2014,Benzine,Automatic,,4X4,"EGP 1,350,000"
Daewoo,Leganza,220000,2000,Benzine,Automatic,2000,Sedan,"EGP 170,000"
Opel,Crossland,120000,2020,Benzine,Automatic,1200,SUV,"EGP 730,000"
Opel,Vectra,360000,1995,Benzine,Manual,1600,Sedan,"EGP 135,000"
Mercedes-Benz,C180,41000,2022,Benzine,Automatic,1500,Sedan,"EGP 3,100,000"
MINI,Countryman,155000,2015,Benzine,Automatic,1600,Hatchback,"EGP 950,000"
Mercedes-Benz,C180,11000,2023,Benzine,Automatic,1600,Sedan,"EGP 3,199,000"
Toyota,Belta,37000,2022,Benzine,Automatic,,Sedan,"EGP 745,000"
Skoda,Fabia,225000,2003,Benzine,Manual,,,"EGP 165,000"
Land Rover,Range Rover Sport,25000,2022,Benzine,Automatic,5000,SUV,"EGP 6,950,000"
Mercedes-Benz,E200,10000,2024,Benzine,Automatic,2000,Sedan,"EGP 5,000,000"
Kia,Sportage,130000,2021,Benzine,Automatic,1600,Hatchback,"EGP 1,300,000"
Jetour,X95,100000,2022,Benzine,Automatic,1500,SUV,"EGP 1,080,000"
Chrysler,300,240000,1999,Benzine,Automatic,,,"EGP 250,000"
Audi,Q7,130000,2021,Benzine,Automatic,,4X4,"EGP 2,800,000"
Mitsubishi,Lancer,155000,2016,Benzine,Automatic,,Sedan,"EGP 600,000"
BMW,X1,80000,2022,Benzine,Automatic,2000,SUV,"EGP 2,100,000"
Chevrolet,N300,200000,2014,Benzine,Manual,,Van / Bus,"EGP 270,000"
BMW,320,6000,2026,Benzine,Automatic,1600,Sedan,"EGP 2,950,000"
Volkswagen,Passat,80000,2021,Benzine,Automatic,1400,Sedan,"EGP 1,290,000"
Brilliance,FSV,255000,2013,Benzine,Manual,1600,Sedan,"EGP 290,000"
Mazda,323,42000,1982,Benzine,Manual,,Sedan,"EGP 70,000"
BMW,520,200000,1995,Benzine,Manual,,Sedan,"EGP 180,000"
Hyundai,Accent,400000,2007,Benzine,Manual,1300,Sedan,"EGP 160,000"
Volkswagen,Polo,230000,2001,Benzine,Manual,1400,Hatchback,"EGP 260,000"
BMW,M4,65000,2022,Benzine,Automatic,,Sports / Coupe,"EGP 5,850,000"
Fiat,Regata,10000,1988,Benzine,Manual,1500,Sedan,"EGP 80,000"
Volkswagen,Tiguan,25000,2024,Benzine,Automatic,1400,SUV,"EGP 2,100,000"
Nissan,Juke,168000,2014,Benzine,Automatic,,SUV,"EGP 590,000"
Suzuki,Swift,90000,2022,Benzine,Automatic,1200,Hatchback,"EGP 645,000"
BMW,520,62000,2016,Benzine,Automatic,2000,Sedan,"EGP 1,850,000"
Nissan,Qashqai,143000,2020,Benzine,Automatic,1200,SUV,"EGP 845,000"
Jetour,X70,144000,2022,Benzine,Automatic,1500,SUV,"EGP 910,000"
Kia,Picanto,88000,2018,Benzine,Automatic,1300,Hatchback,"EGP 670,000"
Peugeot,301,110000,2018,Benzine,Automatic,1600,Sedan,"EGP 550,000"
Kia,Carens,198000,2011,Benzine,Automatic,,Hatchback,"EGP 580,000"
Hyundai,Elantra,15000,2025,Benzine,Automatic,1600,Sedan,"EGP 970,000"
Lada,2110,25000,2001,Benzine,Manual,1500,Other,"EGP 90,000"
Senova,X25,162000,2017,Benzine,Automatic,1500,SUV,"EGP 410,000"
Opel,Astra,90000,2021,Benzine,Automatic,1400,Sedan,"EGP 760,000"
Mercedes-Benz,C180,27000,2023,Benzine,Automatic,1500,Sedan,"EGP 2,850,000"
Skoda,Kodiaq,95000,2021,Benzine,Automatic,1400,Estate,"EGP 1,800,000"
Peugeot,307 SW,245000,2006,Benzine,Manual,1600,Hatchback,"EGP 340,000"
Daewoo,Nubira,200000,2006,Benzine,Manual,1500,Sedan,"EGP 158,000"
Opel,Vectra,2400,1996,Benzine,Automatic,2000,Sedan,"EGP 225,000"
Speranza,A113,87000,2011,Benzine,Manual,,,"EGP 220,000"
Mercedes-Benz,A150,225000,2004,Benzine,Manual,1400,Hatchback,"EGP 385,000"
Renault,Megane,100000,2005,Benzine,Automatic,1600,Sedan,"EGP 300,000"
Hyundai,Atos,131000,2009,Benzine,Manual,1100,Hatchback,"EGP 230,000"
Jeep,Grand Cherokee,120000,2020,Benzine,Automatic,5700,4X4,"EGP 2,750,000"
Skoda,Kodiaq,260000,2021,Benzine,Automatic,1400,SUV,"EGP 1,270,000"
Fiat,128,100000,1987,Diesel,Manual,1300,Sedan,"EGP 95,000"
Mercedes-Benz,S400,115000,2015,Hybrid,Automatic,3500,Sedan,"EGP 3,100,000"
BMW,X1,80000,2019,Benzine,Automatic,2000,SUV,"EGP 1,500,000"
Toyota,Corolla,131000,2014,Benzine,Automatic,1600,Sedan,"EGP 710,000"
MG,MG 7,4000,2026,Benzine,Automatic,1500,Sedan,"EGP 1,590,000"
Land Rover,Velar,18000,2022,Benzine,Automatic,2000,SUV,"EGP 4,500,000"
Fiat,Tempra,100000,1990,Benzine,Manual,1400,Sedan,"EGP 90,000"
BMW,Other,18000,2025,Electric,Automatic,,SUV,"EGP 2,400,000"
Skoda,Octavia,22000,2024,Benzine,Automatic,,Sedan,"EGP 1,580,000"
Hyundai,Verna,200000,2013,Benzine,Manual,1600,4X4,"EGP 365,000"
Mercedes-Benz,C180,65000,2022,Benzine,Automatic,1600,Sedan,"EGP 2,600,000"
Seat,Ibiza,100000,1990,Benzine,Manual,1200,Hatchback,"EGP 70,000"
Jeep,Grand Cherokee,80000,2017,Benzine,Automatic,,4X4,"EGP 1,850,000"
Kia,Sorento,9000,2024,Hybrid,Automatic,1600,SUV,"EGP 2,850,000"
Volkswagen,ID4,18000,2023,Electric,Automatic,,SUV,"EGP 1,450,000"
Hyundai,Verna,200,2007,Benzine,Automatic,1500,Sedan,"EGP 290,000"
Fiat,127,700000,1979,Benzine,Manual,950,Hatchback,"EGP 55,000"
BMW,320,95000,2018,Benzine,Automatic,,Sedan,"EGP 1,650,000"
Audi,A4,320000,1995,Benzine,Manual,,Sedan,"EGP 220,000"
Geely,Emgrand 7,173000,2014,Natural Gas,Manual,1500,Sedan,"EGP 300,000"
Geely,Pandido,52000,2014,Benzine,Manual,1500,Hatchback,"EGP 270,000"
MG,MG 5,80000,2022,Benzine,Automatic,,Sedan,"EGP 755,000"
Fiat,Siena,330000,2001,Benzine,Manual,1400,Sedan,"EGP 155,000"
Mercedes-Benz,C180,48000,2024,Benzine,Automatic,1500,Sedan,"EGP 2,800,000"
Daewoo,Nubira,219000,1999,Benzine,Manual,1600,Sedan,"EGP 230,000"
Fiat,Punto,240000,2000,Benzine,Manual,,Hatchback,"EGP 160,000"
Renault,Megane,115000,2001,Benzine,Manual,,,"EGP 250,000"
Audi,A5,37000,2024,Benzine,Automatic,2000,Sedan,"EGP 2,700,000"
Tesla,Model X,100000,2018,Electric,Automatic,,SUV,"EGP 2,400,000"
Hyundai,Accent,250000,1999,Benzine,Automatic,1500,Sedan,"EGP 225,000"
Suzuki,Celerio,10000,2011,Benzine,Manual,1000,Hatchback,"EGP 300,000"
BYD,Flyer,30000,2006,Benzine,Manual,1100,Hatchback,"EGP 70,000"
BMW,X3,81000,2016,Benzine,Automatic,2000,SUV,"EGP 1,500,000"
Nissan,Sunny,330000,2007,Benzine,Manual,1600,Sedan,"EGP 350,000"
Volkswagen,Passat,262000,1991,Benzine,Manual,,,"EGP 140,000"
Fiat,Tipo,70000,2022,Benzine,Automatic,,Sedan,"EGP 870,000"
BMW,318,260000,2000,Diesel,Automatic,2000,Sedan,"EGP 440,000"
Kia,Sephia,2000,2001,Benzine,Manual,,Other,"EGP 95,000"
MINI,Cooper,80000,2011,Benzine,Automatic,1600,Sports / Coupe,"EGP 775,000"
Jaguar,F-Pace,210000,2021,Benzine,Automatic,2000,Sports / Coupe,"EGP 3,200,000"
Peugeot,206,150000,2005,Benzine,Manual,,,"EGP 260,000"
Mazda,3,200000,2010,Benzine,Automatic,1300,Sedan,"EGP 400,000"
Opel,Astra,110000,2021,Benzine,Automatic,1400,Sedan,"EGP 720,000"
Nissan,Pathfinder,230000,2006,Benzine,Automatic,4000,SUV,"EGP 765,000"
Volkswagen,Beetle,350000,1971,Benzine,Manual,1300,Hatchback,"EGP 175,000"
Peugeot,508,7000,2024,Benzine,Automatic,1600,Sedan,"EGP 2,350,000"
Chevrolet,Lanos,300000,2011,Benzine,Manual,,,"EGP 225,000"
Opel,Insignia,190000,2018,Benzine,Automatic,,Sedan,"EGP 1,000,000"
Daewoo,Lanos,200000,2005,Benzine,Manual,1500,Sedan,"EGP 310,000"
Mitsubishi,Lancer,220000,2015,Benzine,Automatic,,Sedan,"EGP 560,000"
Nissan,Sunny,12000,2025,Benzine,Automatic,1500,Sedan,"EGP 730,000"
Kia,Rio,52000,2000,Benzine,Automatic,1600,Hatchback,"EGP 250,000"
MINI,Cooper s,81000,2021,Benzine,Automatic,2000,Sedan,"EGP 1,750,000"
Daewoo,Lanos,300000,2009,Benzine,Manual,1600,Sedan,"EGP 190,000"
Chevrolet,Lanos,80000,2019,Benzine,Manual,1500,Sedan,"EGP 375,000"
Daewoo,Nubira,222,2000,Benzine,Automatic,1600,Sedan,"EGP 265,000"
Kia,Spectra,300000,2001,Natural Gas,Automatic,1600,Sedan,"EGP 270,000"
BMW,X3,358469,2013,Benzine,Automatic,3000,SUV,"EGP 1,000,000"
Seat,Leon,190000,2015,Benzine,Automatic,1200,Hatchback,"EGP 650,000"
Skoda,Octavia,150000,2016,Benzine,Automatic,1600,Sedan,"EGP 850,000"
GAC,EMPOW,56000,2024,Benzine,Automatic,1500,Sedan,"EGP 1,180,000"
Suzuki,Swift,300000,1995,Benzine,Manual,1300,Sedan,"EGP 85,000"
MINI,Cooper,94000,2015,Benzine,Automatic,1500,Hatchback,"EGP 970,000"
MG,MG 5,110000,2021,Benzine,Automatic,1500,Sedan,"EGP 650,000"
Daewoo,Juliet,130000,1997,Benzine,Manual,,,"EGP 265,000"
BMW,X1,110000,2016,Benzine,Automatic,1500,SUV,"EGP 1,050,000"
Daewoo,Lanos,183000,2008,Benzine,Manual,1500,Sedan,"EGP 275,000"
Chery,Tiggo 7,20000,2024,Benzine,Automatic,1600,Estate,"EGP 865,000"
Mercedes-Benz,E200,84000,2020,Benzine,Automatic,2000,Sedan,"EGP 2,950,000"
Toyota,Fortuner,200000,2018,Benzine,Automatic,4000,4X4,"EGP 2,070,000"
Fiat,Dogan,100000,1995,Benzine,Manual,1600,Sedan,"EGP 80,000"
Mercedes-Benz,GLE 450,59000,2022,Benzine,Automatic,3000,4X4,"EGP 4,700,000"
Honda,Civic,106,2009,Benzine,Automatic,,Sedan,"EGP 710,000"
Jeep,Wrangler,149000,2014,Benzine,Automatic,,4X4,"EGP 1,170,000"
Fiat,Siena,290000,2003,Benzine,Manual,1400,Sedan,"EGP 165,000"
Renault,Logan,94000,2015,Benzine,Manual,1500,Sedan,"EGP 450,000"
Porsche,Cayenne,19000,2022,Benzine,Automatic,3000,SUV,"EGP 6,750,000"
Chevrolet,Optra,140000,2010,Benzine,Automatic,1600,Sedan,"EGP 430,000"
Nissan,Sunny,167000,2021,Benzine,Automatic,1500,Sedan,"EGP 550,000"
Alfa Romeo,Giulietta,28000,2021,Benzine,Automatic,,Hatchback,"EGP 1,550,000"
Jeep,Grand Cherokee,195000,2016,Benzine,Automatic,4700,4X4,"EGP 1,650,000"
Fiat,Dogan,100000,1991,Benzine,Manual,1600,Sedan,"EGP 75,000"
Jeep,Renegade,150000,2016,Benzine,Automatic,1400,4X4,"EGP 830,000"
Volkswagen,Beetle,1,1983,Benzine,Manual,,,"EGP 110,000"
Chevrolet,Lanos,170000,2011,Natural Gas,Manual,,Sedan,"EGP 250,000"
Hyundai,Matrix,100000,2007,Benzine,Manual,1600,Hatchback,"EGP 400,000"
Renault,Captur,144000,2017,Benzine,Automatic,1200,SUV,"EGP 600,000"
Jeep,Grand Cherokee,27000,2022,Benzine,Automatic,5700,4X4,"EGP 3,600,000"
Chevrolet,Lanos,195000,2011,Hybrid,Manual,,,"EGP 290,000"
Hyundai,Excel,351764,1994,Benzine,Manual,1300,Sedan,"EGP 125,000"
Daewoo,Lanos,170000,2001,Benzine,Manual,,,"EGP 240,000"
Fiat,131,195000,1979,Benzine,Manual,1600,Sedan,"EGP 55,000"
Kia,Sportage,31000,2021,Benzine,Automatic,1600,SUV,"EGP 1,300,000"
Renault,Logan,220000,2013,Benzine,Manual,1600,Sedan,"EGP 320,000"
Suzuki,Grand Vitara,280000,2007,Benzine,Automatic,2000,4X4,"EGP 650,000"
Land Rover,Velar,35000,2023,Benzine,Automatic,,SUV,"EGP 4,250,000"
Chevrolet,Optra,332000,2006,Benzine,Manual,,,"EGP 285,000"
Porsche,Cayenne,68000,2022,Benzine,Automatic,4400,Sports / Coupe,"EGP 6,900,000"
Mercedes-Benz,C180,12850,2023,Benzine,Automatic,1600,Sedan,"EGP 2,725,000"
Renault,Logan,110000,2019,Benzine,Automatic,1600,Sedan,"EGP 470,000"
Fiat,Siena,19700,2000,Benzine,Manual,1400,Sedan,"EGP 160,000"
Mercedes-Benz,S280,97000,1982,Benzine,Automatic,2800,Sedan,"EGP 650,000"
Fiat,128,150000,1987,Benzine,Manual,1100,Sedan,"EGP 75,000"
Hyundai,H100,400000,2006,Diesel,Manual,2500,Van / Bus,"EGP 325,000"
Renault,Kadjar,78000,2022,Benzine,Automatic,1200,SUV,"EGP 850,000"
Fiat,124,200000,1973,Benzine,Manual,1100,Sedan,"EGP 60,000"
Chevrolet,Cruze,165000,2009,Benzine,Automatic,1600,Sedan,"EGP 325,000"
BMW,316,400000,2006,Benzine,Automatic,1600,Sedan,"EGP 540,000"
Daewoo,Lanos,275888,1999,Benzine,Manual,1500,Sedan,"EGP 180,000"
Jeep,Wrangler,83000,2017,Benzine,Automatic,3000,SUV,"EGP 1,850,000"
Fiat,Tipo,106000,2022,Benzine,Automatic,1600,Sedan,"EGP 900,000"
Alfa Romeo,Stelvio,15000,2024,Benzine,Automatic,1500,Hatchback,"EGP 3,200,000"
Hyundai,Tucson,55000,2021,Benzine,Automatic,1600,Estate,"EGP 1,450,000"
Renault,Sandero Stepway,800,2023,Benzine,Automatic,,Hatchback,"EGP 750,000"
Daewoo,Juliet,86000,2000,Benzine,Manual,1500,Hatchback,"EGP 270,000"
Renault,Logan,90000,2016,Benzine,Automatic,1600,Sedan,"EGP 455,000"
Skoda,Fantasia,250000,2010,Benzine,Automatic,1600,Sedan,"EGP 550,000"
Volkswagen,Golf,177000,2014,Benzine,Automatic,1400,Hatchback,"EGP 750,000"
Fiat,Punto,200000,2016,Benzine,Manual,1400,Hatchback,"EGP 375,000"
Mercedes-Benz,C200,47000,2019,Benzine,Automatic,1500,Sedan,"EGP 2,590,000"
Fiat,Punto,277000,2008,Benzine,Manual,,,"EGP 260,000"
Mercedes-Benz,GLS,17000,2023,Benzine,Automatic,4000,4X4,"EGP 7,600,000"
Mercedes-Benz,C180,20000,2024,Benzine,Automatic,1500,Sedan,"EGP 2,900,000"
Opel,Vectra,280000,2008,Benzine,Automatic,1600,Sedan,"EGP 380,000"
Chevrolet,Lanos,183000,2012,Benzine,Manual,1600,Sedan,"EGP 300,000"
Fiat,Regata,300000,1986,Benzine,Manual,1500,Sedan,"EGP 65,000"
Hyundai,Verna,99999,2010,Benzine,Manual,1600,Sedan,"EGP 230,000"
Chevrolet,Optra,160000,2013,Benzine,Automatic,1600,Sedan,"EGP 450,000"
Jetour,T2,12000,2025,Benzine,Automatic,1600,SUV,"EGP 1,730,000"
Mercedes-Benz,C180,70000,2017,Benzine,Automatic,1600,Convertible,"EGP 2,200,000"
Mercedes-Benz,C180,240000,2010,Benzine,Automatic,1800,Sedan,"EGP 830,000"
Nissan,Tiida,187000,2010,Benzine,Automatic,1600,Sedan,"EGP 450,000"
Speranza,A620,149000,2008,Benzine,Automatic,2000,Sedan,"EGP 250,000"
Mazda,929,250,1977,Benzine,Manual,1800,Estate,"EGP 75,000"
Renault,Clio,230000,2002,Benzine,Manual,1200,Sedan,"EGP 180,000"
Renault,Megane,220000,2006,Benzine,Automatic,1600,Sedan,"EGP 260,000"
Suzuki,Dzire,45000,2022,Benzine,Manual,,Sedan,"EGP 510,000"
Daewoo,Lanos,375000,2006,Benzine,Manual,1500,Sedan,"EGP 255,000"
BMW,X3,225000,2009,Benzine,Automatic,3000,4X4,"EGP 680,000"
Toyota,Corolla,2000,1999,Benzine,Manual,1300,Sedan,"EGP 240,000"
Daewoo,Nubira,55000,1997,Benzine,Manual,1600,Sedan,"EGP 200,000"
Mercedes-Benz,CLA 180,200000,2015,Benzine,Automatic,1600,Sedan,"EGP 1,000,000"
BYD,F3,80000,2014,Benzine,Automatic,1500,Sedan,"EGP 365,000"
Skoda,Octavia,75000,2016,Benzine,Automatic,1400,Sedan,"EGP 900,000"
Speranza,A516,290000,2008,Benzine,Manual,1600,Sedan,"EGP 230,000"
Mercedes-Benz,C200,72000,2019,Benzine,Automatic,,Sedan,"EGP 2,250,000"
Hyundai,Elantra,270000,1996,Benzine,Manual,1600,Hatchback,"EGP 235,000"
Mitsubishi,Pajero,39000,2022,Benzine,Automatic,3800,4X4,"EGP 3,300,000"
Kia,Carens,342000,2010,Benzine,Automatic,,SUV,"EGP 550,000"
Mitsubishi,Eclipse,52000,2023,Benzine,Automatic,1500,SUV,"EGP 1,280,000"
Kia,Ceed,190000,2016,Benzine,Automatic,1600,Hatchback,"EGP 620,000"
Mercedes-Benz,GLS,42000,2022,Benzine,Automatic,4000,SUV,"EGP 6,500,000"
Volkswagen,Passat,55000,2016,Benzine,Automatic,1400,Sedan,"EGP 815,000"
Speranza,A516,170000,2009,Benzine,Manual,1600,Sedan,"EGP 215,000"
Toyota,Prado,40000,2022,Benzine,Automatic,2700,SUV,"EGP 3,550,000"
Jaguar,S-Type,55000,2004,Benzine,Automatic,2500,Sedan,"EGP 1,075,000"
Opel,Astra,80000,2021,Benzine,Automatic,,Sedan,"EGP 780,000"
Hyundai,IX20,150000,2013,Benzine,Automatic,1600,Hatchback,"EGP 430,000"
Toyota,Corolla,31000,2024,Benzine,Automatic,1600,Sedan,"EGP 1,350,000"
Mercedes-Benz,E200,70000,2021,Benzine,Automatic,2000,Sedan,"EGP 3,200,000"
Nissan,Sunny,220000,1998,Benzine,Manual,,,"EGP 215,000"
Renault,Megane,195000,2005,Benzine,Automatic,1600,Sedan,"EGP 270,000"
Daewoo,,250000,2006,Benzine,Manual,,,"EGP 240,000"
Geely,Emgrand X7,315000,2014,Benzine,Manual,,,"EGP 285,000"
Kia,Sephia,114000,1999,Benzine,Automatic,,,"EGP 200,000"
BMW,318,100000,2018,Benzine,Automatic,1600,Sedan,"EGP 1,190,000"
Skoda,Fantasia,101000,2012,Benzine,Automatic,2000,Sedan,"EGP 650,000"
Mercedes-Benz,C180,48000,2024,Benzine,Automatic,1500,Sedan,"EGP 3,100,000"
Opel,Astra,68000,2020,Benzine,Automatic,1400,Sedan,"EGP 750,000"
Kia,Pride,100000,1996,Benzine,Manual,1300,Hatchback,"EGP 135,000"
Nissan,Primera,100000,1983,Benzine,Manual,,Hatchback,"EGP 65,000"
Skoda,Octavia,162000,1999,Benzine,Manual,1600,Sedan,"EGP 310,000"
Mitsubishi,Lancer,55000,2007,Benzine,Automatic,1600,Sedan,"EGP 600,000"
Kia,Rio,250000,2002,Benzine,Manual,,Sedan,"EGP 195,000"
Toyota,Belta,72000,2022,Benzine,Automatic,1499,Sedan,"EGP 730,000"
Kia,Sephia,340000,2002,Benzine,Manual,1500,Sedan,"EGP 165,000"
Citroen,C5,65000,2020,Benzine,Automatic,1600,SUV,"EGP 1,250,000"
Volkswagen,Jetta,260000,2006,Benzine,Automatic,2000,Sedan,"EGP 700,000"
Opel,Vectra,201000,1995,Benzine,Manual,1600,Sedan,"EGP 100,000"
Hyundai,Verna,480000,2013,Natural Gas,Automatic,1500,Sedan,"EGP 295,000"
Hyundai,Accent,330000,2007,Benzine,Manual,1600,Sedan,"EGP 355,000"
Jeep,Grand Cherokee,170000,2015,Benzine,Automatic,5700,4X4,"EGP 1,400,000"
Fiat,128,55,1987,Benzine,Manual,,Estate,"EGP 60,000"
Mercedes-Benz,CLA 200,42000,2022,Benzine,Automatic,1320,Sedan,"EGP 1,950,000"
Chevrolet,Lanos,114000,2009,Benzine,Manual,1500,Sedan,"EGP 260,000"
Mercedes-Benz,C180,180000,2009,Benzine,Automatic,1600,Sedan,"EGP 950,000"
Tesla,Cybertruck,2680,2024,Electric,Automatic,,SUV,"EGP 5,500,000"
Daewoo,Lacetti,160000,2004,Natural Gas,Automatic,1500,Sedan,"EGP 425,000"
Fiat,Tipo,190000,2019,Benzine,Automatic,1600,Sedan,"EGP 600,000"
Kia,Sorento,19000,2024,Hybrid,Automatic,,SUV,"EGP 2,190,000"
Peugeot,504,450000,1975,Benzine,Manual,,,"EGP 120,000"
Peugeot,405,200000,1996,Hybrid,Manual,,,"EGP 150,000"
Speranza,A113,190000,2008,Benzine,Manual,1300,Hatchback,"EGP 220,000"
Renault,Optima,300000,1997,Benzine,Manual,1300,Sedan,"EGP 125,000"
Daewoo,Nubira,157000,2007,Benzine,Manual,1600,Sedan,"EGP 285,000"
Hyundai,Accent,376702,2006,Benzine,Manual,1300,Sedan,"EGP 225,000"
Mercedes-Benz,E200,67000,2021,Benzine,Automatic,2000,Sedan,"EGP 3,450,000"
MG,ZS,11000,2025,Benzine,Automatic,1500,4X4,"EGP 860,000"
Chevrolet,Aveo,63500,2016,Benzine,Automatic,1500,Sedan,"EGP 500,000"
Suzuki,Dzire,26000,2022,Benzine,Automatic,,Sedan,"EGP 650,000"
Hyundai,Verna,37000,2016,Benzine,Manual,,Sedan,"EGP 475,000"
Audi,Q7,50000,2022,Benzine,Automatic,,SUV,"EGP 3,500,000"
Renault,Clio,186000,2005,Benzine,Automatic,1600,Sedan,"EGP 220,000"
Mercedes-Benz,G63,490,2024,Benzine,Automatic,4000,Hatchback,"EGP 17,000,000"
Nissan,Sunny,280000,1997,Benzine,Manual,1300,Sedan,"EGP 175,000"
Chevrolet,Optra,100000,2005,Benzine,Automatic,1600,Sedan,"EGP 330,000"
Suzuki,Ciaz,160000,2015,Benzine,Automatic,,Sedan,"EGP 500,000"
Renault,Clio,300000,2003,Benzine,Manual,1200,Sedan,"EGP 160,000"
Skoda,Felecia,269000,1997,Benzine,Manual,1300,Hatchback,"EGP 120,000"
Chery,A15,214000,2007,Benzine,Manual,1600,Sedan,"EGP 200,000"
Peugeot,205,203000,1986,Benzine,Manual,1300,Hatchback,"EGP 90,000"
Skoda,Felecia,150000,1996,Benzine,Manual,1300,Hatchback,"EGP 135,000"
Ford,Focus,110000,2018,Benzine,Automatic,,Sedan,"EGP 680,000"
BMW,X1,173000,2014,Benzine,Automatic,2000,SUV,"EGP 900,000"
Porsche,Boxster,2500,2024,Benzine,Automatic,2000,Convertible,"EGP 4,950,000"
Chana,Other,85000,2016,Benzine,Manual,1000,Pickup,"EGP 230,000"
Opel,Mokka,133000,2016,Benzine,Automatic,1400,Hatchback,"EGP 590,000"
Subaru,Impreza,240000,2006,Benzine,Manual,2000,Sedan,"EGP 450,000"
Fiat,127,100000,1983,Benzine,Manual,900,Small city car,"EGP 50,000"
Suzuki,Maruti,52,2010,Benzine,Manual,800,Hatchback,"EGP 163,000"
Subaru,Impreza,250000,2019,Benzine,Automatic,1600,Sedan,"EGP 700,000"
Aston Martin,DB,2401,2025,Benzine,Automatic,3982,SUV,"EGP 22,500,000"
Changan,CS55,60000,2023,Benzine,Automatic,1500,SUV,"EGP 1,000,000"
Speranza,A516,185000,2007,Benzine,Manual,1600,Sedan,"EGP 230,000"
Mercedes-Benz,GLA 200,13000,2015,Benzine,Automatic,1500,SUV,"EGP 1,750,000"
BMW,X2,100000,2020,Benzine,Automatic,,SUV,"EGP 1,400,000"
